States/UTs,Area,Number of Households surveyed,Number of Women age 15-49 years interviewed,Number of Men age 15-54 years interviewed,Female population age 6 years and above who ever attended school (%),Population below age 15 years (%)," Sex ratio of the total population (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",Children under age 5 years whose birth was registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority (%),Population living in households with electricity (%),Population living in households with an improved drinking-water source1 (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households using iodized salt (%),Households with any usual member covered under a health insurance/financing scheme (%),Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Women (age 15-49) who are literate4 (%),Men (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Men (age 15-49)  with 10 or more years of schooling (%),Women (age 15-49)  who have ever used the internet (%),Men (age 15-49)  who have ever used the internet (%),Women age 20-24 years married before age 18 years (%),Men age 25-29 years married before age 21 years (%),Total Fertility Rate (number of children per woman),Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Adolescent fertility rate for women age 15-19 years5,Neonatal mortality rate (per 1000 live births),Infant mortality rate (per 1000 live births),Under-five mortality rate (per 1000 live births),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method of family planning8 (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey) (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,Children under age 3 years breastfed within one hour of birth15 (%),Children under age 6 months exclusively breastfed16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Men (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Men (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2) (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Men (age 15-49 years) who have high risk waist-to-hip ratio (≥0.90) (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),All women age 15-49 years who are anaemic22 (%),All women age 15-19 years who are anaemic22 (%) ,Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Men (age 30-49 years)Ever undergone an oral cavity examination for oral cancer (%),Women (age 15-49 years) who have comprehensive knowledge24 of HIV/AIDS (%),Men (age 15-49 years) who have comprehensive knowledge24 of HIV/AIDS (%),Women (age 15-49 years) who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),Men (age 15-49 years) who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),Currently married women (age 15-49 years) who usually participate in three household decisions25 (%),Women (age 15-49 years) who worked in the last 12 months and were paid in cash (%),Women (age 15-49 years) owning a house and/or land (alone or jointly with others) (%),Women (age 15-49 years) having a bank or savings account that they themselves use (%),Women (age 15-49 years) having a mobile phone that they themselves use (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),Young women age 18-29 years who experienced sexual violence by age 18 (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who consume alcohol (%),Men age 15 years and above who consume alcohol (%),Female_Literacy
India,Urban,160138,179535,26420,82.5 ,23.1,985.0,924 ,93.3 ,83.2 ,99.1,98.7,81.5,89.7 ,96.9 ,38.1 ,18.1 ,83.0 ,89.6 ,56.3 ,62.1 ,51.8 ,72.5 ,14.7 ,11.3 ,1.6 ,3.8 ,27.0,18.0 ,26.6 ,31.5 ,69.3 ,58.5 ,36.3 ,0.2 ,2.7 ,4.4 ,13.6 ,0.4 ,8.4 ,3.6 ,23.0 ,64.7 ,75.5 ,68.1 ,92.7 ,54.0 ,34.4 ,94.9 ,84.6 ,3385 ,3.8 ,85.7 ,93.8 ,52.6 ,2.1 ,94.0 ,32.3 ,49.3 ,22.7 ,75.5 ,83.3 ,94.7 ,79.2 ,86.0 ,87.1 ,30.4 ,34.9 ,83.0 ,71.8 ,87.7 ,11.1 ,6.2 ,62.5 ,31.5 ,72.2 ,2.3 ,72.7 ,44.7 ,59.6 ,52.0 ,11.8 ,14.2 ,12.3 ,30.1 ,18.5 ,7.6 ,27.3 ,4.2 ,13.2 ,13.0 ,33.2 ,29.8 ,59.9 ,50.1 ,64.2 ,54.1 ,45.7 ,53.8 ,56.5 ,20.4 ,25.0 , ,8.0 ,16.3 ,7.8 ,8.5 ,17.9 ,13.6 ,5.2 ,23.6 ,17.1 ,5.9 ,26.6 ,2.2 ,1.2 ,1.2 , , ,37.5 ,76.1 ,86.4 ,91.0 ,25.0 ,38.3 ,80.9 ,69.4 ,89.4 ,24.2 ,2.5 ,1.1 ,5.4 ,28.8 ,0.6 ,16.5 ,82.5
Andaman & Nicobar Islands,Urban,527,557,85,86.5 ,22.7,1023.0,941 ,96.9 ,(94.8),99.5,98.0,88.0,95.6 ,99.7 ,1.4 ,*,86.6 ,89.3 ,59.7 ,59.4 ,44.1 ,54.6 ,17.4 ,*,1.4 ,1.5 ,36.0,*,*,*,54.4 ,48.5 ,31.0 ,0.0 ,2.2 ,2.2 ,12.1 ,0.5 ,18.3 ,8.8 ,30.1 ,(88.0),81.2 ,86.0 ,92.8 ,81.2 ,64.8 ,100.0 ,89.4 ,4230 ,*,90.0 ,99.2 ,81.8 ,0.0 ,96.7 ,40.8 ,*,33.6 ,(72.1),*,(100.0),(75.7),(93.1),(79.3),(34.6),(0.0),(83.0),84.3 ,(90.9),(5.7),6.2 ,*,*,*,0.0 ,(81.0),45.8 ,*,*,(24.3),*,(27.7),18.2 ,12.8 ,5.1 ,15.1 ,5.7 ,11.3 ,7.8 ,41.7 ,37.0 ,72.2 ,61.3 ,47.8 ,57.4 ,*,57.2 ,44.1 ,9.2 ,*,8.6 ,9.4 ,19.6 ,9.5 ,8.6 ,19.4 ,12.6 ,5.0 ,23.4 ,17.6 ,6.5 ,28.2 ,1.7 ,0.0 ,10.0 ,3.5 ,10.1 ,36.8 ,81.4 ,67.5 ,93.0 ,34.7 ,10.9 ,88.5 ,80.8 ,98.5 ,23.2 ,(0.0),1.4 ,15.0 ,44.7 ,0.7 ,33.8 ,86.5
Andaman & Nicobar Islands,Rural,2097,1840,282,81.8 ,19.7,929.0,891 ,97.8 ,88.8 ,96.5,95.3,88.0,71.0 ,99.7 ,1.6 ,33.7 ,85.6 ,94.7 ,47.6 ,47.7 ,27.9 ,41.1 ,15.3 ,(5.8),1.2 ,4.0 ,13.0,(2.8),(8.4),(9.5),73.4 ,63.9 ,44.6 ,0.3 ,5.0 ,4.5 ,8.2 ,0.1 ,10.3 ,4.3 ,31.0 ,80.5 ,73.5 ,81.0 ,89.0 ,80.7 ,41.0 ,97.9 ,88.5 ,2089 ,*,91.8 ,98.7 ,92.1 ,0.4 ,97.8 ,20.2 ,*,15.8 ,84.8 ,96.8 ,95.9 ,87.4 ,92.1 ,85.5 ,28.6 ,0.7 ,88.4 ,87.2 ,100.0 ,0.0 ,5.1 ,*,*,*,3.1 ,64.6 ,47.8 ,*,*,12.4 ,*,10.6 ,26.4 ,19.0 ,4.6 ,31.1 ,5.2 ,8.2 ,1.6 ,35.7 ,50.6 ,80.7 ,53.7 ,33.3 ,57.7 ,(55.5),57.6 ,45.5 ,20.4 ,(25.6),6.7 ,7.3 ,16.2 ,9.1 ,6.6 ,17.1 ,16.9 ,4.8 ,26.4 ,22.1 ,6.4 ,31.2 ,2.8 ,2.6 ,10.2 ,4.0 ,18.4 ,33.4 ,72.5 ,62.2 ,95.5 ,17.1 ,19.4 ,89.8 ,80.9 ,99.1 ,13.2 ,0.5 ,2.2 ,41.1 ,66.4 ,7.6 ,41.9 ,81.8
Andaman & Nicobar Islands,Total,2624,2397,367,83.5 ,20.8,963.0,914 ,97.4 ,90.9 ,97.6,96.3,88.0,79.8 ,99.7 ,1.6 ,42.6 ,86.0 ,92.5 ,52.5 ,52.3 ,34.8 ,46.5 ,16.2 ,(7.1),1.3 ,3.0 ,22.0,(12.3),(20.6),(24.5),65.8 ,57.7 ,39.2 ,0.2 ,3.9 ,3.6 ,9.8 ,0.3 ,13.5 ,6.1 ,30.6 ,83.4 ,77.1 ,83.4 ,90.8 ,80.9 ,52.1 ,98.9 ,88.9 ,2924 ,*,91.0 ,99.0 ,87.3 ,0.2 ,97.3 ,29.9 ,(79.2),23.6 ,77.8 ,96.0 ,98.2 ,80.9 ,92.6 ,82.1 ,31.9 ,0.3 ,85.4 ,86.0 ,94.9 ,3.2 ,5.6 ,(65.0),(44.1),(83.3),1.7 ,72.7 ,46.9 ,(73.3),*,18.5 ,*,19.5 ,22.5 ,16.0 ,4.8 ,23.7 ,5.4 ,9.4 ,4.0 ,38.1 ,45.3 ,77.3 ,56.6 ,40.0 ,57.6 ,(53.7),57.5 ,44.9 ,16.1 ,(27.1),7.4 ,8.1 ,17.5 ,9.3 ,7.3 ,17.9 ,15.3 ,4.9 ,25.3 ,20.6 ,6.5 ,30.2 ,2.4 ,1.6 ,10.1 ,3.8 ,14.9 ,34.7 ,76.3 ,64.3 ,94.5 ,24.6 ,15.8 ,89.2 ,80.8 ,98.9 ,17.2 ,0.3 ,1.8 ,31.3 ,58.7 ,5.0 ,39.1 ,83.5
Arunachal Pradesh,Urban,3714,4211,621,83.2 ,26.2,989.0,912 ,89.7 ,41.3 ,99.5,98.1,79.9,90.2 ,99.4 ,33.6 ,8.0 ,84.7 ,92.1 ,55.4 ,64.1 ,70.0 ,86.9 ,16.7 ,17.7 ,1.4 ,3.2 ,27.0,12.5 ,16.7 ,22.2 ,57.0 ,44.8 ,15.7 ,0.0 ,6.3 ,13.3 ,7.5 ,0.7 ,13.4 ,7.7 ,21.1 ,71.9 ,57.2 ,47.8 ,82.1 ,29.4 ,13.0 ,97.7 ,67.0 ,10178 ,7.8 ,66.6 ,90.6 ,82.1 ,3.2 ,93.0 ,17.1 ,56.3 ,15.0 ,66.8 ,73.4 ,93.4 ,70.5 ,83.2 ,85.1 ,29.6 ,28.8 ,80.9 ,75.7 ,99.3 ,0.7 ,4.3 ,59.6 ,35.9 ,59.5 ,2.5 ,54.0 ,54.0 ,66.2 ,(42.3),26.5 ,(16.8),25.7 ,28.4 ,10.1 ,4.7 ,13.1 ,9.6 ,5.6 ,6.4 ,28.9 ,32.4 ,66.6 ,47.9 ,52.8 ,37.0 ,23.4 ,36.5 ,43.5 ,21.4 ,21.9 ,4.7 ,3.7 ,9.6 ,6.4 ,4.6 ,12.0 ,16.1 ,6.8 ,25.3 ,23.1 ,8.5 ,33.2 ,1.4 ,0.7 ,1.0 ,1.2 ,11.1 ,30.4 ,58.6 ,70.6 ,89.2 ,23.0 ,69.8 ,86.0 ,81.9 ,93.5 ,18.5 ,1.1 ,0.1 ,14.0 ,44.5 ,14.9 ,44.3 ,83.2
Assam,Urban,3988,4291,681,87.9 ,21.3,982.0,916 ,97.0 ,80.5 ,99.0,92.3,69.7,85.5 ,99.6 ,50.1 ,4.1 ,87.5 ,92.6 ,49.0 ,53.2 ,49.0 ,67.4 ,22.3 ,18.3 ,1.5 ,5.8 ,41.0,15.2 ,22.7 ,33.0 ,61.4 ,42.3 ,9.3 ,0.1 ,3.4 ,21.2 ,7.6 ,0.3 ,9.9 ,3.1 ,18.0 ,67.4 ,72.7 ,62.6 ,96.2 ,54.4 ,22.6 ,98.9 ,76.8 ,6651 ,2.8 ,80.7 ,93.5 ,66.3 ,2.2 ,94.9 ,39.2 ,78.8 ,26.7 ,63.2 ,70.6 ,92.6 ,69.3 ,79.7 ,77.3 ,12.5 ,44.8 ,72.7 ,64.0 ,88.4 ,9.2 ,2.7 ,(81.0),(27.0),(61.8),2.5 ,55.0 ,48.5 ,67.3 ,(57.6),8.3 ,*,7.9 ,29.8 ,19.1 ,8.0 ,25.9 ,8.0 ,13.9 ,11.3 ,23.8 ,25.4 ,66.6 ,54.2 ,66.4 ,66.0 ,41.4 ,65.2 ,67.4 ,27.6 ,34.6 ,8.4 ,7.0 ,16.6 ,8.8 ,9.5 ,20.4 ,12.0 ,5.1 ,22.5 ,13.8 ,5.3 ,23.8 ,0.6 ,0.4 ,0.4 ,0.0 ,24.1 ,29.0 ,76.3 ,86.9 ,93.9 ,17.2 ,36.3 ,81.9 ,75.4 ,82.9 ,26.6 ,2.2 ,7.4 ,16.2 ,43.9 ,2.6 ,21.3 ,87.9
Chandigarh,Urban,740,720,104,86.8 ,23.2,918.0,820 ,98.0 ,93.6 ,99.9,99.1,85.4,95.8 ,96.8 ,32.3 ,6.4 ,83.1 ,94.8 ,59.9 ,64.5 ,75.2 ,91.9 ,9.8 ,*,1.4 ,0.8 ,9.0,*,*,*,77.5 ,55.8 ,19.0 ,0.3 ,4.3 ,0.4 ,31.2 ,0.0 ,7.0 ,2.5 ,34.3 ,(91.5),82.2 ,79.1 ,93.1 ,73.9 ,64.3 ,97.4 ,90.5 ,5586 ,*,89.4 ,97.0 ,83.4 ,0.0 ,97.0 ,31.7 ,(44.8),30.6 ,(81.7),(83.6),(96.7),(81.7),(88.7),(88.7),(15.1),(85.7),(85.7),72.4 ,(92.8),(7.2),4.4 ,*,*,*,0.3 ,*,63.7 ,*,*,(22.9),*,(19.1),25.2 ,8.3 ,2.4 ,20.2 ,1.9 ,13.1 ,15.1 ,43.9 ,34.4 ,60.4 ,66.9 ,55.0 ,60.1 ,*,60.3 ,57.5 ,8.1 ,*,6.0 ,12.0 ,19.0 ,7.1 ,8.8 ,16.6 ,14.4 ,5.5 ,25.0 ,18.6 ,8.6 ,30.6 ,1.4 ,0.0 ,0.4 ,(2.4),20.3 ,53.6 ,72.3 ,85.0 ,94.6 ,22.0 ,30.4 ,87.1 ,70.0 ,93.3 ,9.7 ,0.0 ,*,0.6 ,12.0 ,0.3 ,18.5 ,86.8
Chandigarh,Total,761,746,104,86.7 ,23.3,917.0,838 ,97.6 ,93.6 ,99.9,99.1,85.0,95.8 ,96.8 ,32.2 ,6.3 ,83.0 ,94.8 ,59.6 ,64.5 ,75.2 ,91.9 ,9.7 ,*,1.4 ,0.8 ,9.0,*,*,*,77.4 ,55.6 ,19.0 ,0.3 ,4.2 ,0.5 ,31.1 ,0.0 ,6.9 ,2.5 ,34.0 ,(91.7),82.3 ,78.7 ,93.2 ,73.9 ,64.5 ,97.2 ,90.6 ,5546 ,*,89.3 ,96.9 ,83.2 ,0.2 ,97.0 ,31.3 ,(44.3),30.4 ,(80.9),(82.8),(96.8),(80.9),(87.9),(87.9),(15.0),(84.9),(84.9),72.6 ,(92.9),(7.1),4.3 ,*,*,*,0.3 ,*,63.7 ,*,*,(22.7),*,(19.0),25.3 ,8.4 ,2.3 ,20.6 ,1.9 ,13.0 ,15.1 ,44.0 ,34.4 ,60.7 ,66.9 ,54.6 ,60.1 ,*,60.3 ,57.7 ,8.1 ,*,6.0 ,12.0 ,19.0 ,7.1 ,8.8 ,16.6 ,14.5 ,5.6 ,25.0 ,18.7 ,8.7 ,30.6 ,1.4 ,0.0 ,0.4 ,(2.4),20.3 ,53.6 ,72.3 ,85.0 ,94.6 ,22.0 ,30.4 ,87.1 ,70.0 ,93.4 ,9.7 ,0.0 ,*,0.6 ,12.1 ,0.3 ,18.6 ,86.7
Chhattisgarh,Urban,4518,5421,794,80.3 ,23.2,1016.0,933 ,97.3 ,81.2 ,99.5,98.6,88.2,80.2 ,99.0 ,68.8 ,6.3 ,85.3 ,90.3 ,52.4 ,52.2 ,44.5 ,75.4 ,8.1 ,9.8 ,1.4 ,1.7 ,19.0,19.3 ,26.2 ,28.9 ,71.3 ,64.9 ,47.3 ,0.4 ,3.7 ,2.6 ,7.9 ,0.4 ,8.0 ,3.5 ,28.0 ,82.9 ,71.5 ,62.2 ,92.1 ,41.4 ,23.5 ,98.5 ,90.3 ,2536 ,4.8 ,87.3 ,93.1 ,58.9 ,3.0 ,95.5 ,31.2 ,60.4 ,17.8 ,77.3 ,81.8 ,95.8 ,85.8 ,84.0 ,87.7 ,34.8 ,48.5 ,82.3 ,81.9 ,88.9 ,10.6 ,3.3 ,(68.8),(33.8),(73.3),1.5 ,63.2 ,30.0 ,73.8 ,41.8 ,9.4 ,(4.7),9.0 ,30.0 ,18.9 ,9.0 ,25.8 ,5.7 ,16.0 ,11.1 ,23.1 ,22.4 ,64.5 ,47.9 ,71.1 ,57.1 ,38.8 ,56.5 ,62.2 ,20.8 ,22.5 ,5.4 ,5.4 ,12.1 ,6.5 ,4.8 ,12.8 ,14.6 ,5.7 ,23.5 ,19.5 ,6.3 ,27.8 ,0.4 ,0.4 ,0.4 ,1.4 ,23.9 ,37.4 ,86.3 ,90.2 ,96.5 ,28.4 ,46.1 ,77.9 ,61.2 ,83.2 ,14.0 ,1.2 ,0.5 ,9.4 ,33.4 ,1.3 ,28.6 ,80.3
Dadra and Nagar Haveli & Daman and Diu,Urban,1542,1455,260,85.8 ,24.4,775.0,705 ,96.6 ,91.5 ,99.9,97.9,68.5,95.2 ,98.1 ,39.5 ,6.2 ,87.7 ,95.4 ,48.6 ,58.8 ,49.4 ,76.2 ,26.7 ,(20.6),1.7 ,1.9 ,32.0,(20.3),(33.3),(43.8),63.5 ,53.6 ,30.9 ,0.0 ,3.0 ,3.5 ,15.6 ,0.7 ,15.4 ,7.4 ,27.6 ,66.9 ,71.8 ,77.9 ,78.7 ,56.0 ,35.2 ,97.8 ,91.5 ,1132 ,*,92.1 ,96.4 ,60.4 ,0.9 ,97.0 ,29.9 ,44.5 ,23.0 ,90.0 ,91.9 ,96.2 ,92.4 ,94.5 ,92.6 ,35.2 ,5.7 ,89.0 ,86.0 ,94.8 ,5.2 ,2.3 ,*,*,*,0.6 ,88.9 ,19.4 ,(64.8),*,9.8 ,*,9.0 ,32.9 ,22.1 ,5.1 ,33.6 ,1.2 ,20.7 ,19.2 ,34.0 ,27.6 ,46.2 ,45.7 ,75.0 ,60.4 ,(61.1),60.5 ,60.1 ,17.9 ,(12.1),5.5 ,7.3 ,14.0 ,7.6 ,8.5 ,17.2 ,8.9 ,3.3 ,16.5 ,11.9 ,3.1 ,17.0 ,0.9 ,0.5 ,0.5 ,2.1 ,31.4 ,35.2 ,75.8 ,81.3 ,95.7 ,23.5 ,51.9 ,78.0 ,75.4 ,91.0 ,21.8 ,1.3 ,4.4 ,2.4 ,39.6 ,0.5 ,29.1 ,85.8
